Regular Tx,Fees burned,to_def,Internal Tx,Internal Event (excluding Tx),group
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.001315,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
1,0.00125,unknown_hx,0,0,unknown_hx
