selectDates,balanceCounts,totalCounts,annual_real_yield_list,annual_reward_list,annual_inflation_list
 2/20, 148644, 428648, 13.05, 18.33, 8.41
 2/21, 149188, 429735, 13.02, 18.3, 8.56
 2/22, 149784, 430869, 12.97, 18.25, 8.37
 2/23, 150378, 432045, 12.94, 18.22, 8.17
 2/24, 150882, 433849, 12.9, 18.18, 8.43
 2/25, 151378, 434811, 12.84, 18.12, 8.13
 2/26, 151925, 435929, 12.78, 18.06, 8.37
 2/27, 152431, 436962, 12.73, 18.01, 8.31
 2/28, 152952, 437935, 12.67, 17.95, 8.31
 2/29, 153720, 439309, 12.66, 17.94, 8.16
 3/1, 154441, 440595, 12.65, 17.93, 8.25
 3/2, 155077, 441725, 12.59, 17.87, 8.27
 3/3, 155664, 442855, 12.64, 17.92, 8.15
 3/4, 156289, 443926, 12.62, 17.9, 8.25
 3/5, 156961, 445141, 12.58, 17.86, 8.23
 3/6, 157663, 446368, 12.58, 17.86, 8.22
 3/7, 158301, 447539, 12.49, 17.77, 8.24
 3/8, 158887, 448664, 12.44, 17.72, 8.25
 3/9, 159445, 449765, 12.39, 17.67, 8.26
 3/10, 160077, 450985, 12.41, 17.69, 8.16
 3/11, 160730, 452165, 12.37, 17.65, 8.24
 3/12, 161352, 453352, 12.36, 17.64, 8.25
 3/13, 161958, 454555, 12.3, 17.58, 8.18
 3/14, 162631, 455896, 12.18, 17.46, 8.35
 3/15, 163298, 457140, 12.15, 17.43, 8.45
 3/16, 163986, 458394, 12.14, 17.42, 8.49
 3/17, 164794, 459741, 11.99, 17.27, 8.37
 3/18, 165528, 461140, 12.01, 17.29, 8.5
 3/19, 166285, 462475, 12.04, 17.32, 8.47
 3/20, 167066, 463860, 12.03, 17.31, 8.49
 3/21, 167851, 465266, 11.99, 17.27, 8.4
 3/22, 168677, 466723, 11.97, 17.25, 8.5
 3/23, 169469, 468068, 11.94, 17.22, 8.49
 3/24, 170251, 469589, 11.87, 17.15, 8.51
 3/25, 171092, 471120, 11.82, 17.1, 8.43
 3/26, 171844, 472606, 11.78, 17.06, 8.51
 3/27, 172624, 474016, 11.72, 17.0, 8.52
 3/28, 173290, 475139, 11.69, 16.97, 8.35
 3/29, 173761, 475903, 11.67, 16.95, 8.46
 3/30, 176000, 479395, 11.63, 16.91, 8.44
 3/31, 177996, 482115, 11.64, 16.92, 8.4
 4/1, 179612, 484469, 11.58, 16.86, 8.41
 4/2, 181212, 486948, 11.58, 16.86, 8.54
 4/3, 182799, 489358, 11.57, 16.85, 8.46
 4/4, 184447, 491860, 11.55, 16.83, 8.54
 4/5, 185931, 494224, 11.52, 16.8, 8.53
 4/6, 187527, 496774, 11.49, 16.77, 8.55
 4/7, 189175, 499216, 11.45, 16.73, 8.55
 4/8, 190564, 501429, 11.45, 16.73, 8.56
 4/9, 191971, 503569, 11.47, 16.75, 8.5
 4/10, 193517, 505980, 11.44, 16.72, 8.57
 4/11, 195343, 508676, 11.41, 16.69, 8.51
 4/12, 196988, 511225, 11.38, 16.66, 8.62
 4/13, 198602, 513597, 11.3, 16.58, 8.61
 4/14, 200244, 516128, 11.23, 16.51, 8.64
 4/15, 201691, 518475, 11.21, 16.49, 8.63
 4/16, 203260, 520786, 11.16, 16.44, 8.51
 4/17, 204691, 522924, 11.13, 16.41, 8.57
 4/18, 206110, 524944, 11.13, 16.41, 8.58
 4/19, 207443, 526890, 11.13, 16.41, 8.58
 4/20, 208699, 528791, 11.11, 16.39, 8.55
 4/21, 209896, 530626, 11.09, 16.37, 8.54
 4/22, 211128, 532450, 11.07, 16.35, 8.52
 4/23, 212282, 534159, 11.06, 16.34, 8.58
 4/24, 213614, 536062, 11.11, 16.39, 8.6
 4/25, 215019, 538117, 11.1, 16.38, 8.58
 4/26, 216405, 540137, 11.06, 16.34, 8.58
 4/27, 217832, 542266, 11.06, 16.34, 8.6
 4/28, 219218, 544215, 11.05, 16.33, 8.55
 4/29, 220565, 546133, 11.04, 16.32, 8.58
 4/30, 221996, 548120, 10.98, 16.26, 8.5
 5/1, 223361, 550086, 10.93, 16.21, 8.61
 5/2, 224714, 552151, 10.9, 16.18, 8.58
 5/3, 226032, 554149, 10.9, 16.18, 8.62
 5/4, 227273, 556084, 10.89, 16.17, 8.59
 5/5, 228472, 557995, 10.87, 16.15, 8.59
 5/6, 229816, 559955, 10.86, 16.14, 8.55
 5/7, 231012, 561741, 10.84, 16.12, 8.58
 5/8, 232305, 563605, 10.82, 16.1, 8.52
 5/9, 233827, 565658, 10.82, 16.1, 8.47
 5/10, 235048, 567339, 10.82, 16.1, 8.42
 5/11, 236232, 569098, 10.8, 16.08, 8.37
 5/12, 237537, 570947, 10.76, 16.04, 8.23
 5/13, 238902, 572911, 10.73, 16.01, 8.24
 5/14, 240351, 574790, 10.73, 16.01, 8.23
 5/15, 242291, 577210, 10.68, 15.96, 8.21
 5/16, 243909, 579269, 8.98, 14.26, 8.38
 5/17, 245282, 581108, 8.96, 14.24, 8.23
 5/18, 246700, 583094, 8.96, 14.24, 8.26
 5/19, 248088, 585033, 9.04, 14.32, 8.25
 5/20, 249590, 587111, 9.04, 14.32, 8.23
 5/21, 251071, 589262, 9.04, 14.32, 8.17
 5/22, 252587, 591373, 9.05, 14.33, 8.14
 5/23, 254148, 593577, 9.03, 14.31, 8.07
 5/24, 255702, 595693, 9.02, 14.3, 8.04
 5/25, 257174, 597752, 9.02, 14.3, 8.05
 5/26, 258757, 599891, 9.0, 14.28, 8.07
 5/27, 260070, 601742, 9.0, 14.28, 7.96
 5/28, 261488, 603745, 8.91, 14.19, 8.05
 5/29, 262967, 605767, 8.86, 14.14, 7.93
 5/30, 264513, 607863, 8.86, 14.14, 7.73
 5/31, 265890, 609818, 8.86, 14.14, 7.39
 6/1, 267285, 611760, 8.84, 14.12, 7.22
 6/2, 268668, 613646, 8.89, 14.17, 7.08
 6/3, 270056, 615615, 8.87, 14.15, 6.99
 6/4, 271377, 617452, 8.85, 14.13, 6.81
 6/5, 272757, 619402, 8.84, 14.12, 6.6
 6/6, 274311, 621534, 8.81, 14.09, 6.43
 6/7, 275826, 623595, 8.81, 14.09, 6.3
 6/8, 277194, 625602, 8.8, 14.08, 6.22
 6/9, 278634, 627883, 8.75, 14.03, 6.16
 6/10, 280112, 629984, 8.72, 14.0, 6.1
 6/11, 281545, 632021, 8.7, 13.98, 6.06
 6/12, 283030, 634027, 8.71, 13.99, 6.05
 6/13, 284633, 636224, 8.7, 13.98, 6.03
 6/14, 285983, 638114, 8.7, 13.98, 5.98
 6/15, 285789, 640069, 8.69, 13.97, 6.0
 6/16, 287091, 641992, 8.69, 13.97, 5.92
 6/17, 288302, 643945, 8.67, 13.95, 6.01
 6/18, 289523, 645849, 8.62, 13.9, 5.98
 6/19, 290709, 647644, 8.63, 13.91, 5.9
 6/20, 292099, 649648, 8.62, 13.9, 5.98
 6/21, 293324, 651379, 8.63, 13.91, 5.97
 6/22, 294549, 653140, 8.61, 13.89, 5.97
 6/23, 295815, 654966, 8.61, 13.89, 5.97
 6/24, 296961, 656615, 8.6, 13.88, 5.97
 6/25, 298079, 658823, 8.59, 13.87, 5.97
 6/26, 299306, 660546, 8.58, 13.86, 5.96
 6/27, 300699, 662373, 8.56, 13.84, 5.96
 6/28, 301924, 664049, 8.54, 13.82, 5.97
 6/29, 303159, 665681, 8.54, 13.82, 5.96
 6/30, 304555, 667354, 8.52, 13.8, 5.96
 7/1, 305744, 669021, 8.48, 13.76, 5.93
 7/2, 307028, 670857, 8.48, 13.76, 5.95
 7/3, 308347, 672643, 8.47, 13.75, 5.91
 7/4, 309878, 674669, 8.46, 13.74, 5.93
 7/5, 311264, 676534, 8.48, 13.76, 5.94
 7/6, 312512, 678293, 8.47, 13.75, 5.94
 7/7, 313810, 680037, 8.44, 13.72, 5.93
 7/8, 315159, 681981, 8.41, 13.69, 5.94
 7/9, 312854, 683273, 8.42, 13.7, 5.93
 7/10, 310014, 684522, 8.34, 13.62, 5.95
 7/11, 308100, 685636, 8.33, 13.61, 5.78
 7/12, 307129, 686821, 8.34, 13.62, 5.94
 7/13, 306237, 687994, 8.33, 13.61, 5.92
 7/14, 305666, 689256, 8.34, 13.62, 5.93
 7/15, 305153, 690566, 8.33, 13.61, 5.92
 7/16, 304715, 691679, 8.3, 13.58, 5.93
 7/17, 304490, 692778, 8.26, 13.54, 5.93
 7/18, 304168, 693882, 8.28, 13.56, 5.93
 7/19, 304095, 694961, 8.27, 13.55, 5.93
 7/20, 304074, 696179, 8.27, 13.55, 5.94
 7/21, 304000, 697203, 8.28, 13.56, 5.92
 7/22, 304051, 698295, 8.27, 13.55, 5.89
 7/23, 304032, 699281, 8.28, 13.56, 5.83
 7/24, 304091, 700299, 8.27, 13.55, 5.92
 7/25, 304197, 701306, 8.27, 13.55, 5.64
 7/26, 304280, 701835, 8.29, 13.57, 5.91
 7/27, 303060, 703218, 8.3, 13.58, 3.38
 7/28, 303216, 704258, 8.3, 13.58, 8.49
 7/29, 303329, 705243, 8.33, 13.61, 5.94
 7/30, 303361, 705966, 8.34, 13.62, 5.95
 7/31, 303178, 706638, 8.3, 13.58, 5.96
 8/1, 303112, 707289, 8.31, 13.59, 5.95
 8/2, 302942, 707625, 8.31, 13.59, 5.88
 8/3, 302886, 708130, 8.24, 13.52, 5.97
 8/4, 303625, 710235, 8.19, 13.47, 5.99
 8/5, 304268, 712053, 8.17, 13.45, 5.99
 8/6, 304599, 713076, 7.69, 12.97, 6.05
 8/7, 304758, 713965, 7.66, 12.94, 6.01
 8/8, 304459, 714142, 7.65, 12.93, 5.9
 8/9, 304341, 714344, 7.65, 12.93, 5.9
 8/10, 304222, 714608, 7.61, 12.89, 5.9
 8/11, 304169, 714883, 7.61, 12.89, 5.89
 8/12, 304134, 715149, 7.59, 12.87, 5.88
 8/13, 304025, 715426, 7.6, 12.88, 5.89
 8/14, 303958, 715745, 8.29, 13.57, 5.89
 8/15, 303857, 716116, 8.33, 13.61, 5.93
 8/16, 303781, 716403, 8.33, 13.61, 5.93
 8/17, 303758, 716695, 8.31, 13.59, 5.93
 8/18, 303738, 716989, 8.26, 13.54, 5.94
 8/19, 303644, 717254, 8.31, 13.59, 5.93
 8/20, 308407, 726980, 8.26, 13.54, 5.92
 8/21, 309076, 728626, 8.25, 13.53, 5.91
 8/22, 309479, 729896, 8.31, 13.59, 5.92
 8/23, 309894, 731015, 8.37, 13.65, 5.92
 8/24, 310236, 732082, 8.4, 13.68, 5.71
 8/25, 310505, 733062, 8.39, 13.67, 5.9
 8/26, 310832, 734050, 8.36, 13.64, 5.9
 8/27, 311247, 735036, 8.32, 13.6, 5.92
 8/28, 311518, 735930, 8.31, 13.59, 5.83
 8/29, 311777, 736930, 8.29, 13.57, 5.93
 8/30, 312145, 737939, 8.18, 13.46, 5.95
 8/31, 312487, 738963, 8.14, 13.42, 5.89
 9/1, 312821, 739947, 8.08, 13.36, 5.93
 9/2, 313144, 740854, 8.04, 13.32, 5.91
 9/3, 313507, 741795, 8.0, 13.28, 5.92
 9/4, 313811, 742738, 7.94, 13.22, 5.93
 9/5, 314089, 743701, 7.85, 13.13, 5.92
 9/6, 314412, 744605, 7.83, 13.11, 5.93
 9/7, 314741, 745459, 7.81, 13.09, 5.89
 9/8, 315018, 746341, 7.79, 13.07, 5.9
 9/9, 315409, 747395, 7.78, 13.06, 5.83
 9/10, 315705, 748276, 7.77, 13.05, 5.79
 9/11, 316014, 749336, 7.7, 12.98, 5.91
 9/12, 316253, 750624, 7.68, 12.96, 5.9
 9/13, 316677, 751530, 7.65, 12.93, 5.9
 9/14, 316955, 752426, 7.66, 12.94, 5.89
 9/15, 317407, 753443, 7.65, 12.93, 5.9
 9/16, 317784, 754280, 7.62, 12.9, 5.9
 9/17, 318106, 755173, 7.59, 12.87, 5.89
 9/18, 318958, 756069, 7.59, 12.87, 5.89
 9/19, 319276, 756918, 7.58, 12.86, 5.87
 9/20, 319628, 757740, 7.58, 12.86, 5.89
 9/21, 319999, 758647, 7.58, 12.86, 5.89
 9/22, 320330, 759505, 7.55, 12.83, 5.88
 9/23, 320476, 760257, 7.56, 12.84, 5.88
 9/24, 320752, 761122, 7.55, 12.83, 5.88
 9/25, 321041, 761905, 7.58, 12.86, 5.78
 9/26, 321232, 762667, 7.56, 12.84, 5.88
 9/27, 321536, 763460, 7.55, 12.83, 5.87
 9/28, 322191, 765055, 7.53, 12.81, 5.89
 9/29, 322799, 766672, 7.52, 12.8, 5.88
 9/30, 322938, 767442, 7.49, 12.77, 5.88
 10/1, 323223, 768202, 7.47, 12.75, 5.89
 10/2, 323524, 769028, 7.46, 12.74, 5.87
 10/3, 323798, 769858, 7.46, 12.74, 5.88
 10/4, 324121, 770678, 7.46, 12.74, 5.88
 10/5, 324432, 771502, 7.44, 12.72, 5.89
 10/6, 324777, 772339, 7.44, 12.72, 5.88
 10/7, 325110, 773141, 7.42, 12.7, 5.88
 10/8, 325450, 773925, 7.4, 12.68, 5.85
 10/9, 325748, 774714, 7.4, 12.68, 5.87
 10/10, 326023, 775483, 7.41, 12.69, 5.87
 10/11, 326312, 776244, 7.42, 12.7, 5.88
 10/12, 326565, 777101, 7.4, 12.68, 5.87
 10/13, 326944, 778020, 7.39, 12.67, 5.86
 10/14, 327404, 778915, 7.54, 12.82, 5.81
 10/15, 327663, 779749, 7.51, 12.79, 5.84
 10/16, 327991, 780615, 7.5, 12.78, 5.88
 10/17, 328394, 781487, 7.52, 12.8, 5.89
 10/18, 328764, 782310, 7.51, 12.79, 5.88
 10/19, 329181, 783245, 7.52, 12.8, 5.89
 10/20, 329529, 784133, 7.5, 12.78, 5.89
 10/21, 329881, 784965, 7.5, 12.78, 5.89
 10/22, 330231, 785810, 7.48, 12.76, 5.87
 10/23, 330584, 786676, 7.45, 12.73, 5.88
 10/24, 330911, 787518, 7.45, 12.73, 5.88
 10/25, 331258, 788333, 7.43, 12.71, 5.88
 10/26, 331640, 789185, 7.44, 12.72, 5.87
 10/27, 332037, 790129, 7.45, 12.73, 5.88
 10/28, 332434, 791044, 7.43, 12.71, 5.86
 10/29, 332784, 791870, 7.44, 12.72, 5.87
 10/30, 333063, 792516, 7.45, 12.73, 5.87
 10/31, 333535, 793665, 7.43, 12.71, 4.09
 11/1, 333996, 794608, 7.46, 12.74, 7.67
 11/2, 334456, 795627, 7.46, 12.74, 5.87
 11/3, 334951, 796674, 7.45, 12.73, 5.89
 11/4, 335392, 797626, 7.43, 12.71, 5.89
 11/5, 335800, 798586, 7.43, 12.71, 5.87
 11/6, 336213, 799633, 7.41, 12.69, 5.88
 11/7, 336629, 800610, 7.41, 12.69, 5.88
 11/8, 337050, 801639, 7.46, 12.74, 5.88
 11/9, 337421, 802632, 7.44, 12.72, 5.88
 11/10, 337865, 803652, 7.42, 12.7, 5.88
 11/11, 338275, 804611, 7.13, 12.41, 5.91
 11/12, 338757, 805600, 7.1, 12.38, 5.71
 11/13, 339122, 806455, 7.04, 12.32, 5.85
 11/14, 339563, 807509, 7.06, 12.34, 5.85
 11/15, 339956, 808685, 7.05, 12.33, 5.77
 11/16, 340081, 809015, 7.05, 12.33, 5.86
 11/17, 340230, 809395, 7.04, 12.32, 5.77
 11/18, 340354, 809746, 6.97, 12.25, 5.85
 11/19, 340480, 810100, 6.97, 12.25, 5.86
 11/20, 340575, 810458, 7.0, 12.28, 5.84
 11/21, 340651, 810876, 6.95, 12.23, 5.72
 11/22, 340740, 811219, 7.03, 12.31, 5.85
 11/23, 340900, 811659, 7.04, 12.32, 5.82
 11/24, 341273, 812314, 7.09, 12.37, 5.84
 11/25, 341559, 812916, 7.15, 12.43, 5.83
 11/26, 341805, 813444, 7.18, 12.46, 5.85
 11/27, 341866, 813812, 7.18, 12.46, 5.85
 11/28, 341964, 814226, 7.17, 12.45, 5.69
 11/29, 342117, 814680, 7.16, 12.44, 5.54
 11/30, 342202, 815107, 7.14, 12.42, 5.62
 12/1, 342361, 815549, 7.17, 12.45, 5.62
 12/2, 342509, 815949, 7.16, 12.44, 5.62
 12/3, 342664, 816397, 7.14, 12.42, 5.63
 12/4, 342805, 816792, 7.13, 12.41, 5.62
 12/5, 342910, 817275, 7.12, 12.4, 5.62
 12/6, 343042, 817673, 7.11, 12.39, 5.58
 12/7, 343293, 818189, 7.08, 12.36, 5.52
 12/8, 343428, 818575, 7.06, 12.34, 5.5
 12/9, 343497, 818943, 7.09, 12.37, 5.51
 12/10, 343532, 819207, 7.06, 12.34, 5.51
 12/11, 343551, 819565, 6.98, 12.26, 5.52
 12/12, 343597, 819844, 6.97, 12.25, 5.53
 12/13, 343664, 820131, 6.95, 12.23, 5.48
 12/14, 343764, 820462, 6.95, 12.23, 5.48
 12/15, 343844, 820776, 6.93, 12.21, 5.51
 12/16, 343911, 821104, 6.9, 12.18, 5.51
 12/17, 344010, 821460, 6.94, 12.22, 5.51
 12/18, 344077, 821818, 6.94, 12.22, 5.48
 12/19, 344161, 822157, 6.93, 12.21, 5.49
 12/20, 344249, 822558, 6.95, 12.23, 5.49
 12/21, 344320, 822853, 6.93, 12.21, 5.51
 12/22, 344493, 823245, 6.97, 12.25, 5.51
 12/23, 344970, 823996, 6.94, 12.22, 5.51
 12/24, 345034, 824314, 6.96, 12.24, 5.49
 12/25, 345114, 824665, 6.95, 12.23, 5.5
 12/26, 345237, 825183, 7.0, 12.28, 5.51
 12/27, 345315, 825607, 6.98, 12.26, 5.5
 12/28, 345393, 825973, 6.99, 12.27, 5.5
 12/29, 345490, 826396, 6.96, 12.24, 5.5
 12/30, 345697, 826905, 6.99, 12.27, 5.5
 12/31, 345882, 827406, 6.99, 12.27, 5.42
 1/1, 346142, 827920, 6.98, 12.26, 5.51
 1/2, 346461, 828573, 7.02, 12.3, 5.5
 1/3, 346951, 829405, 7.0, 12.28, 5.52
 1/4, 347587, 830393, 7.0, 12.28, 5.51
 1/5, 348199, 831339, 7.01, 12.29, 5.5
 1/6, 348888, 832385, 7.04, 12.32, 5.49
 1/7, 349587, 833459, 7.1, 12.38, 5.51
 1/8, 350119, 834345, 7.16, 12.44, 5.48
 1/9, 350614, 835174, 7.19, 12.47, 5.49
 1/10, 351146, 836027, 7.18, 12.46, 5.53
 1/11, 351545, 836749, 7.22, 12.5, 5.51
 1/12, 351908, 837377, 7.36, 12.64, 5.52
 1/13, 352223, 837936, 7.32, 12.6, 5.54
 1/14, 352565, 838566, 7.45, 12.73, 5.5
 1/15, 352901, 839172, 7.44, 12.72, 5.54
 1/16, 353245, 839801, 7.52, 12.8, 5.54
 1/17, 353478, 840346, 7.57, 12.85, 5.53
 1/18, 353736, 841023, 7.63, 12.91, 5.54
 1/19, 354052, 841695, 7.66, 12.94, 5.56
 1/20, 354285, 842173, 7.67, 12.95, 5.56
 1/21, 354553, 842793, 7.73, 13.01, 5.54
 1/22, 354731, 843308, 7.67, 12.95, 5.54
 1/23, 354923, 843720, 7.64, 12.92, 5.54
 1/24, 355158, 844191, 7.53, 12.81, 5.55
 1/25, 355434, 844727, 7.53, 12.81, 5.56
 1/26, 355615, 845221, 7.58, 12.86, 5.55
 1/27, 355856, 845819, 7.62, 12.9, 5.53
 1/28, 356030, 846217, 7.64, 12.92, 5.54
 1/29, 356463, 846944, 7.66, 12.94, 5.54
 1/30, 356767, 847571, 7.67, 12.95, 5.55
 1/31, 357073, 848146, 7.7, 12.98, 5.56
 2/1, 357405, 848763, 7.73, 13.01, 5.56
 2/2, 357689, 849275, 7.74, 13.02, 5.54
 2/3, 357958, 849859, 7.83, 13.11, 5.54
 2/4, 358286, 850519, 7.76, 13.04, 5.54
 2/5, 358663, 851163, 7.75, 13.03, 5.56
 2/6, 359016, 851814, 7.74, 13.02, 5.57
 2/7, 359326, 852478, 7.72, 13.0, 5.55
 2/8, 359651, 853105, 7.71, 12.99, 5.57
 2/9, 360108, 853911, 7.7, 12.98, 5.55
 2/10, 360634, 854777, 7.73, 13.01, 5.46
 2/11, 361621, 856509, 7.77, 13.05, 5.54
 2/12, 362276, 857596, 7.86, 13.14, 5.45
 2/13, 362955, 858701, 7.87, 13.15, 5.56
 2/14, 363562, 859754, 8.02, 13.3, 5.53
 2/15, 364315, 860880, 8.05, 13.33, 5.48
 2/16, 365241, 862284, 8.09, 13.37, 5.48
 2/17, 365773, 863188, 8.18, 13.46, 5.54
 2/18, 366416, 864289, 8.05, 13.33, 5.6
 2/19, 367275, 865696, 6.65, 11.93, 5.85
 2/20, 367961, 866885, 6.61, 11.89, 5.54
 2/21, 368589, 867955, 6.61, 11.89, 5.48
 2/22, 369080, 868850, 6.61, 11.89, 5.48
 2/23, 369451, 869605, 6.55, 11.83, 5.5
 2/24, 369822, 870326, 6.56, 11.84, 5.49
 2/25, 370151, 871075, 6.52, 11.8, 5.49
 2/26, 370383, 871816, 6.48, 11.76, 5.48
 2/27, 370656, 872454, 6.42, 11.7, 5.5
 2/28, 370795, 873020, 6.36, 11.64, 5.48
 3/1, 370886, 873656, 6.29, 11.57, 5.47
 3/2, 371176, 874308, 6.29, 11.57, 5.46
 3/3, 371456, 874929, 6.28, 11.56, 5.45
 3/4, 371804, 875881, 6.23, 11.51, 5.45
 3/5, 372098, 876735, 6.24, 11.52, 5.45
 3/6, 372421, 877382, 6.14, 11.42, 5.45
 3/7, 372803, 878279, 6.12, 11.4, 5.45
 3/8, 373032, 879348, 6.12, 11.4, 5.43
 3/9, 373348, 880183, 6.12, 11.4, 5.44
 3/10, 373664, 881070, 6.2, 11.48, 5.43
 3/11, 373893, 881902, 6.22, 11.5, 5.43
 3/12, 374166, 882780, 6.21, 11.49, 5.44
 3/13, 374332, 884356, 6.21, 11.49, 5.43
 3/14, 374504, 884892, 6.2, 11.48, 5.23
 3/15, 374559, 885349, 6.24, 11.52, 5.44
 3/16, 374895, 885989, 5.39, 10.67, 5.61
 3/17, 375149, 886511, 5.39, 10.67, 5.46
 3/18, 375418, 887072, 5.37, 10.65, 5.34
 3/19, 375676, 887570, 5.32, 10.6, 5.37
 3/20, 375816, 888086, 5.32, 10.6, 5.37
 3/21, 375863, 888289, 5.34, 10.62, 4.64
 3/22, 376034, 888680, 5.34, 10.62, 5.09
 3/23, 376182, 889084, 5.37, 10.65, 5.36
 3/24, 376431, 889688, 5.37, 10.65, 5.36
 3/25, 376644, 890091, 5.39, 10.67, 5.37
 3/26, 376819, 890478, 5.44, 10.72, 5.37
 3/27, 377255, 891463, 5.42, 10.7, 5.37
 3/28, 377543, 892286, 5.42, 10.7, 5.37
 3/29, 377877, 892950, 5.44, 10.72, 5.37
 3/30, 378380, 893906, 5.4, 10.68, 5.36
 3/31, 379126, 895497, 5.4, 10.68, 5.37
 4/1, 379607, 896499, 5.43, 10.71, 5.35
 4/2, 379907, 897347, 5.44, 10.72, 5.34
 4/3, 380175, 898038, 5.53, 10.81, 5.36
 4/4, 380498, 898598, 5.51, 10.79, 5.28
 4/5, 380856, 899346, 5.55, 10.83, 5.38
 4/6, 381264, 900224, 5.56, 10.84, 5.37
 4/7, 381627, 900917, 5.59, 10.87, 5.29
 4/8, 381931, 901525, 5.59, 10.87, 5.38
 4/9, 382259, 902098, 5.6, 10.88, 5.39
 4/10, 382562, 902752, 5.61, 10.89, 5.38
 4/11, 382848, 903334, 5.63, 10.91, 5.38
 4/12, 383112, 904017, 5.64, 10.92, 5.39
 4/13, 383507, 904771, 5.72, 11.0, 5.38
 4/14, 383824, 905559, 6.06, 11.34, 5.37
 4/15, 384152, 906161, 6.15, 11.43, 5.43
 4/16, 384506, 906878, 6.22, 11.5, 5.42
 4/17, 384871, 907663, 6.32, 11.6, 5.42
 4/18, 385238, 908320, 6.52, 11.8, 5.42
 4/19, 385602, 908960, 6.8, 12.08, 5.39
 4/20, 385835, 909523, 7.03, 12.31, 5.45
 4/21, 386068, 910083, 7.04, 12.32, 5.5
 4/22, 386295, 910566, 7.0, 12.28, 5.42
 4/23, 386540, 911045, 7.01, 12.29, 5.5
 4/24, 386742, 911486, 7.03, 12.31, 5.5
 4/25, 386950, 911887, 7.01, 12.29, 5.5
 4/26, 387426, 912559, 7.01, 12.29, 5.51
 4/27, 387967, 913336, 6.27, 11.55, 5.49
 4/28, 388491, 914103, 5.98, 11.26, 5.44
 4/29, 388967, 914831, 6.01, 11.29, 5.36
 4/30, 389436, 915589, 5.99, 11.27, 5.39
 5/1, 389828, 916239, 6.01, 11.29, 5.38
 5/2, 390238, 916875, 6.0, 11.28, 5.37
 5/3, 390566, 917509, 6.07, 11.35, 5.4
 5/4, 390875, 918160, 6.13, 11.41, 5.34
 5/5, 391126, 918682, 6.16, 11.44, 5.39
 5/6, 391439, 919306, 6.06, 11.34, 5.41
 5/7, 391899, 920183, 5.84, 11.12, 5.43
 5/8, 392374, 921015, 6.01, 11.29, 5.34
 5/9, 392694, 921627, 6.03, 11.31, 5.36
 5/10, 393092, 922328, 6.36, 11.64, 5.35
 5/11, 393463, 922915, 6.43, 11.71, 5.4
 5/12, 393847, 923636, 6.35, 11.63, 5.39
 5/13, 394102, 924256, 6.33, 11.61, 5.41
 5/14, 394372, 924833, 6.23, 11.51, 5.44
 5/15, 394723, 925482, 6.17, 11.45, 5.4
 5/16, 395043, 926134, 6.17, 11.45, 5.42
 5/17, 395339, 926662, 6.19, 11.47, 5.41
